year,anomaly,gcm,scenario
2091,1.61392211914062,CESM1-BGC,rcp45
2092,1.59960913658142,CESM1-BGC,rcp45
2093,1.5205991268158,CESM1-BGC,rcp45
2094,1.54602015018463,CESM1-BGC,rcp45
2095,1.68441820144653,CESM1-BGC,rcp45
2096,1.59643518924713,CESM1-BGC,rcp45
2097,1.58767712116241,CESM1-BGC,rcp45
2098,1.56036412715912,CESM1-BGC,rcp45
2099,1.56332409381866,CESM1-BGC,rcp45
1981,-0.160012632608414,pattern28,rcp45
1982,-0.150012642145157,pattern28,rcp45
1983,-0.150012642145157,pattern28,rcp45
1984,-0.140012636780739,pattern28,rcp45
1985,-0.140012636780739,pattern28,rcp45
1986,-0.130012631416321,pattern28,rcp45
1987,-0.120012640953064,pattern28,rcp45
1988,-0.110012635588646,pattern28,rcp45
1989,-0.100012637674809,pattern28,rcp45
1990,-0.0900126397609711,pattern28,rcp45
1991,-0.0800126418471336,pattern28,rcp45
1992,-0.0700126364827156,pattern28,rcp45
1993,-0.0500126369297504,pattern28,rcp45
1994,-0.0300126373767853,pattern28,rcp45
1995,-0.0100126378238201,pattern28,rcp45
1996,0.009987361729145,pattern28,rcp45
1997,0.0199873615056276,pattern28,rcp45
1998,0.0399873629212379,pattern28,rcp45
1999,0.0599873624742031,pattern28,rcp45
2000,0.0799873620271683,pattern28,rcp45
2001,0.0999873653054237,pattern28,rcp45
2002,0.119987361133099,pattern28,rcp45
2003,0.149987354874611,pattern28,rcp45
2004,0.179987356066704,pattern28,rcp45
2005,0.209987357258797,pattern28,rcp45
2006,0.23998735845089,pattern28,rcp45
2007,0.259987354278564,pattern28,rcp45
2008,0.289987355470657,pattern28,rcp45
2009,0.31998735666275,pattern28,rcp45
2010,0.339987367391586,pattern28,rcp45
2011,0.369987368583679,pattern28,rcp45
2012,0.389987349510193,pattern28,rcp45
2013,0.419987350702286,pattern28,rcp45
2014,0.449987351894379,pattern28,rcp45
2015,0.479987353086472,pattern28,rcp45
2016,0.509987354278564,pattern28,rcp45
2017,0.53998738527298,pattern28,rcp45
2018,0.56998735666275,pattern28,rcp45
2019,0.599987387657166,pattern28,rcp45
2020,0.629987359046936,pattern28,rcp45
2021,0.659987390041351,pattern28,rcp45
2022,0.689987361431122,pattern28,rcp45
2023,0.729987382888794,pattern28,rcp45
2024,0.759987354278564,pattern28,rcp45
2025,0.78998738527298,pattern28,rcp45
2026,0.81998735666275,pattern28,rcp45
2027,0.859987378120422,pattern28,rcp45
2028,0.889987349510193,pattern28,rcp45
2029,0.929987370967865,pattern28,rcp45
2030,0.959987342357635,pattern28,rcp45
2031,0.999987363815308,pattern28,rcp45
2032,1.03998732566833,pattern28,rcp45
2033,1.0699874162674,pattern28,rcp45
2034,1.10998737812042,pattern28,rcp45
2035,1.13998734951019,pattern28,rcp45
2036,1.17998731136322,pattern28,rcp45
2037,1.21998739242554,pattern28,rcp45
2038,1.24998736381531,pattern28,rcp45
2039,1.28998732566833,pattern28,rcp45
2040,1.32998740673065,pattern28,rcp45
2041,1.36998736858368,pattern28,rcp45
2042,1.40998733043671,pattern28,rcp45
2043,1.43998742103577,pattern28,rcp45
2044,1.47998738288879,pattern28,rcp45
2045,1.51998734474182,pattern28,rcp45
2046,1.54998731613159,pattern28,rcp45
2047,1.58998739719391,pattern28,rcp45
2048,1.62998735904694,pattern28,rcp45
2049,1.65998733043671,pattern28,rcp45
2050,1.69998741149902,pattern28,rcp45
2051,1.73998737335205,pattern28,rcp45
2052,1.76998734474182,pattern28,rcp45
2053,1.80998730659485,pattern28,rcp45
